Speed,RPM,Throttle,Brake,SteeringWheelAngle,Lap,FuelLevel,Time
71.5814528,8016.05824,100.000000,0.000000,0.01060389,17,60.2022016,1.59999999936
71.5981798,8065.41568,100.000000,0.000000,0.01060389,17,60.2017178,1.61666666602
71.6126234,8099.56433,100.000000,0.000000,0.00972418,17,60.2012339,1.63333333268
71.6291383,8120.90253,100.000000,0.000000,0.00876597,17,60.2007492,1.6499999993399999
71.6539025,8104.05798,100.000000,0.000000,0.00791792,17,60.2002615,1.666666666
71.6789952,8086.07168,100.000000,0.000000,0.00754101,17,60.1997781,1.68333333266
71.7043507,8067.17197,100.000000,0.000000,0.00754101,17,60.1992981,1.69999999932
71.7306381,8081.02114,100.000000,0.000000,0.00754101,17,60.1988147,1.7166666659799998
71.7568550,8094.15505,100.000000,0.000000,0.00732096,17,60.1983309,1.73333333264
71.7824179,8090.45790,100.000000,0.000000,0.00633074,17,60.1978470,1.7499999993
71.8041493,8091.35211,100.000000,0.000000,0.00589064,17,60.1973632,1.7666666659599999
71.8228156,8095.91940,100.000000,0.000000,0.00589064,17,60.1968794,1.7833333326199998
71.8341705,8142.68369,100.000000,0.000000,0.00589064,17,60.1963921,1.79999999928
71.8461943,8188.57143,100.000000,0.000000,0.00589064,17,60.1959044,1.81666666594
71.8637585,8212.93009,100.000000,0.000000,0.00589064,17,60.1954167,1.8333333325999999
71.8881771,8199.67851,100.000000,0.000000,0.00392679,17,60.1949291,1.8499999992599998
71.9180791,8156.33873,100.000000,0.000000,0.00039186,17,60.1944414,1.86666666592
71.9475853,8121.04384,100.000000,0.000000,-0.00163445,17,60.1939605,1.88333333258
71.9752892,8100.11665,100.000000,0.000000,-0.00369222,17,60.1934788,1.8999999992399998
71.9968585,8125.95678,100.000000,0.000000,-0.00652017,17,60.1929911,1.9166666659
72.0179499,8141.47221,100.000000,0.000000,-0.00824848,17,60.1925035,1.93333333256
72.0386590,8148.72789,100.000000,0.000000,-0.00909708,17,60.1920158,1.94999999922
72.0629453,8125.22603,100.000000,0.000000,-0.00919137,17,60.1915281,1.9666666658799998
72.0877248,8105.62944,100.000000,0.000000,-0.00900279,17,60.1910421,1.98333333254
72.1126656,8113.15776,100.000000,0.000000,-0.00815419,17,60.1905621,1.9999999992
72.1352128,8121.17077,100.000000,0.000000,-0.00675607,17,60.1900779,2.01666666586
72.1558451,8129.57154,100.000000,0.000000,-0.00491834,17,60.1895902,2.03333333252
72.1784879,8128.55049,100.000000,0.000000,-0.00220042,17,60.1891025,2.0499999991799998
72.2016431,8128.04514,100.000000,0.000000,0.00040760,17,60.1886157,2.0666666658399997
72.2257122,8133.46684,100.000000,0.000000,0.00224587,17,60.1881318,2.0833333325
72.2499179,8138.00661,100.000000,0.000000,0.00400547,17,60.1876459,2.09999999916
72.2742327,8141.84085,100.000000,0.000000,0.00570212,17,60.1871582,2.11666666582
72.2932228,8154.36203,100.000000,0.000000,0.00589064,17,60.1866739,2.13333333248
72.3106368,8171.42379,100.000000,0.000000,0.00589064,17,60.1861892,2.14999999914
72.3248640,8200.57707,100.000000,0.000000,0.00589064,17,60.1857015,2.1666666658
72.3402709,8224.16043,100.000000,0.000000,0.00589064,17,60.1852117,2.1833333324599997
72.3566217,8243.28785,100.000000,0.000000,0.00589064,17,60.1847202,2.19999999912
72.3819938,8233.54735,100.000000,0.000000,0.00589064,17,60.1842321,2.21666666578
72.4092002,8215.04090,100.000000,0.000000,0.00570218,17,60.1837444,2.23333333244
72.4388796,8178.48333,100.000000,0.000000,0.00485412,17,60.1832567,2.2499999991
72.4654357,8163.36704,100.000000,0.000000,0.00447721,17,60.1827712,2.26666666576
72.4894933,8165.40378,100.000000,0.000000,0.00447721,17,60.1822874,2.28333333242
72.5102741,8182.45235,100.000000,0.000000,0.00447721,17,60.1817967,2.2999999990799997
72.5316796,8195.51100,100.000000,0.000000,0.00488572,17,60.1813060,2.3166666657399997
72.5567049,8188.03721,100.000000,0.000000,0.00672400,17,60.1808183,2.3333333324
72.5807211,8178.81301,100.000000,0.000000,0.00801215,17,60.1803307,2.34999999906
72.6039300,8168.18850,100.000000,0.000000,0.00886020,17,60.1798430,2.36666666572
72.6206366,8186.88145,100.000000,0.000000,0.00983414,17,60.1793553,2.38333333238
72.6376380,8209.04623,100.000000,0.000000,0.01060389,17,60.1788676,2.39999999904
72.6585161,8230.53602,100.000000,0.000000,0.01060389,17,60.1783799,2.4166666656999998
72.6834880,8220.75413,100.000000,0.000000,0.01060389,17,60.1778923,2.4333333323599997
72.7117350,8185.95490,100.000000,0.000000,0.01060389,17,60.1774046,2.44999999902
72.7358042,8174.44006,100.000000,0.000000,0.01060389,17,60.1769135,2.46666666568
72.7569361,8177.47226,100.000000,0.000000,0.01038396,17,60.1764228,2.48333333234
72.7696158,8221.23213,100.000000,0.000000,0.00939429,17,60.1759351,2.499999999
72.7892459,8247.81696,100.000000,0.000000,0.00895443,17,60.1754453,2.51666666566
72.8144363,8260.66176,100.000000,0.000000,0.00895443,17,60.1749538,2.53333333232
72.8416986,8216.26974,100.000000,0.000000,0.00895443,17,60.1744691,2.5499999989799997
72.8671454,8181.13596,100.000000,0.000000,0.00895443,17,60.1739844,2.5666666656399997
72.8853316,8203.44713,100.000000,0.000000,0.00895443,17,60.1734967,2.5833333323
72.9009024,8243.58101,100.000000,0.000000,0.00895443,17,60.1730069,2.59999999896
72.9143808,8297.97308,100.000000,0.000000,0.00895443,17,60.1725154,2.61666666562
72.9359761,8282.30511,100.000000,0.000000,0.00895443,17,60.1720239,2.63333333228
72.9594411,8256.91597,100.000000,0.000000,0.00895443,17,60.1715332,2.64999999894
72.9858987,8228.15398,100.000000,0.000000,0.00895443,17,60.1710455,2.6666666655999998
73.0101803,8225.97547,100.000000,0.000000,0.00848329,17,60.1705579,2.6833333322599997
73.0327211,8245.06372,100.000000,0.000000,0.00763524,17,60.1700702,2.69999999892
73.0554086,8248.01271,100.000000,0.000000,0.00666081,17,60.1695757,2.71666666558
73.0782775,8245.81581,100.000000,0.000000,0.00589064,17,60.1690820,2.73333333224
73.1017169,8232.66918,100.000000,0.000000,0.00589064,17,60.1685943,2.7499999989
73.1221355,8237.42549,100.000000,0.000000,0.00589064,17,60.1681088,2.76666666556
73.1401374,8256.50415,100.000000,0.000000,0.00589064,17,60.1676250,2.78333333222
73.1595422,8276.63479,100.000000,0.000000,0.00589064,17,60.1671309,2.7999999988799997
